arm,merge_id,scenario_id,file_path,merge_outcome,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
ctl,dspace_dspace__0a0cf18c36,dspace_dspace__0a0cf18c36__dspace-server-webapp_src_test_java_org_dspace_app_rest_ExternalSourcesRestControllerIT.java,dspace-server-webapp/src/test/java/org/dspace/app/rest/ExternalSourcesRestControllerIT.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,80.279
ctl,dspace_dspace__2e3c4f033d,dspace_dspace__2e3c4f033d__dspace-api_src_main_java_org_dspace_curate_CitationPage.java,dspace-api/src/main/java/org/dspace/curate/CitationPage.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,75.256
ctl,dspace_dspace__eb28c639a0,dspace_dspace__eb28c639a0__dspace-server-webapp_src_main_java_org_dspace_app_rest_repository_DiscoveryRestRepository.java,dspace-server-webapp/src/main/java/org/dspace/app/rest/repository/DiscoveryRestRepository.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,68.995
ctl,dtrules_dtrules__621afc4ef5,dtrules_dtrules__621afc4ef5__compilerutil_src_main_java_com_dtrules_compiler_decisiontables_DTCompiler.java,compilerutil/src/main/java/com/dtrules/compiler/decisiontables/DTCompiler.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,70.45
ctl,dtrules_dtrules__621afc4ef5,dtrules_dtrules__621afc4ef5__dsl_el_src_main_java_com_dtrules_compiler_el_EL.java,dsl/el/src/main/java/com/dtrules/compiler/el/EL.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,70.309
ctl,eirslett_frontend-maven-plugin__3e67ca8791,eirslett_frontend-maven-plugin__3e67ca8791__frontend-plugin-core_src_main_java_com_github_eirslett_maven_plugins_frontend_lib_NodeAndNPMInstaller.java,frontend-plugin-core/src/main/java/com/github/eirslett/maven/plugins/frontend/lib/NodeAndNPMInstaller.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,69.653
ctl,ekryd_sortpom__b918df820e,ekryd_sortpom__b918df820e__sorter_src_main_java_sortpom_wrapper_content_ChildElementSorter.java,sorter/src/main/java/sortpom/wrapper/content/ChildElementSorter.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,68.53
ctl,farin_jcloisterzone__4a38e3b926,farin_jcloisterzone__4a38e3b926__src_main_java_com_jcloisterzone_engine_Engine.java,src/main/java/com/jcloisterzone/engine/Engine.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,73.573
ctl,fasseg_exp4j__184e5535f9,fasseg_exp4j__184e5535f9__src_main_java_de_congrace_exp4j_Tokenizer.java,src/main/java/de/congrace/exp4j/Tokenizer.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,67.539
ctl,fasseg_exp4j__184e5535f9,fasseg_exp4j__184e5535f9__src_test_java_de_congrace_exp4j_ExpressionBuilderTest.java,src/test/java/de/congrace/exp4j/ExpressionBuilderTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,77.066
