merge_id,repository,merge_sha,left,right,stratum,num_intersecting_files,files_materialized,order
sonarcommunity_sonar-php__c836428f70,sonarcommunity/sonar-php,c836428f7050f9e9f1c7f5401595694398798f57,9bca30f789da47e4cc007fcf14f443406770311f,4ed86923dcb614de846f9f0c7962acfff6c398fb,le3,3,1,1
galenframework_galen__a1f212b188,galenframework/galen,a1f212b188bb97b3692edf01df89bb56b62e907b,ddbda5269b86ee322fa22caca856fc24fc6e6b68,8bf7914f5baa69adbb1a10c5b19637987b9b6b6f,le3,2,1,2
tynamo_tapestry-security__568cab9871,tynamo/tapestry-security,568cab9871a77bfa6a90c2b463facf1b01df42bc,f5562e2b7a8700bbaf146edac5b015dc88d21aa1,c4ff9efea18c287783bcde4cfcf94b91d3372ac6,le3,2,1,3
matthias247_jawampa__f956e0584a,matthias247/jawampa,f956e0584ab3323680744ef58438b1b09f11846a,cdb22b91593b13b98b53ca21965c6cbfd58a3954,90ac8af923bd105c3defbcdd74aa0e9679f06447,le3,3,2,4
kohsuke_file-leak-detector__768944360b,kohsuke/file-leak-detector,768944360be1d5e82dccfe677341b8ca38057f49,dbf2f24f4c67a4ca26d6c25dce2d3dde74a4f262,a23c562281b1317a68a9743b0120635b8204aca3,gt3,5,3,5
darcy-framework_darcy-ui__5e1d93a56c,darcy-framework/darcy-ui,5e1d93a56c5c0ba82cfa8adcd706b1fc0214493a,3c9c0fdf31a278bbd8c65071ef901aaa731c0bc9,9ee241447d187a0dc5bfd5d05c9c89fdd196205d,le3,2,1,6
apache_avro__7142e67f5b,apache/avro,7142e67f5bb4db32426d94709581f287189fb563,0863f94f64b181abaeedcd58783c6c246e1c0355,f190f1e7d46f557881c3dc600df26d9d78a0233f,le3,3,2,7
rdfhdt_hdt-java__d8d4b2a826,rdfhdt/hdt-java,d8d4b2a826b545a720460952a32d1ad2c92eae19,aa1ff09f537f595edd44ea1a52d37abc274b049b,eac943b6ef4ae65ab6e0711f6d115aafc0939cf6,gt3,4,3,8
maven-nar_nar-maven-plugin__4523c373d0,maven-nar/nar-maven-plugin,4523c373d0ffe2fc348723a3c44b3d03bb6c08fe,f110fd352a7783dcdfb74b3ff03f6b3932ab5ab1,48e81e85b33e989aefcb400992f04d08a118ddd6,le3,2,1,9
lemire_javaewah__600bff483f,lemire/javaewah,600bff483f9da0042699aa4bd9712ce788cc248c,b0952760c0ba180e8f63a8dedf2f16b0e966af03,441dbeb1d706f33eb7ab5c0e7a6112a6145f588c,le3,3,2,10
stealthly_xml-avro__feac27fac8,stealthly/xml-avro,feac27fac88bcbc7a1161e18bc15e63c3a3e4949,ad0d1a9a2158e4482248099acfb658fc31a86af3,12fd7407f9ac7f9d1fbfe6c2dcec035f9811152c,le3,2,1,11
imglib_imglib2__2a8a319647,imglib/imglib2,2a8a319647f63954e642aecfc472849fe9925943,97f502aebb3c648cb2330eb7c1cda7ae7af0f203,dcb5c6403047064a2af7ce40e44b96ce90663a91,le3,2,1,12
kinow_testlink-java-api__ed64cc15ae,kinow/testlink-java-api,ed64cc15aeda02ac0be3f15cc7770e336f14e914,73527200bb08ce511dd1e71575360aa0d2fd9e83,7075a4dfa64998e26cace6bc0de7b9576ff8a293,le3,2,1,13
kohsuke_groovy-sandbox__190dd89723,kohsuke/groovy-sandbox,190dd89723ff482833d785bc8513097d6441f83f,a143ec39aae8985dd51c9cec954620de032a6dd2,67c7335dc15e5d5fdce2fb7db103a1cc77eccce1,le3,3,1,14
fluentlenium_fluentlenium__7549b5524f,fluentlenium/fluentlenium,7549b5524ff7aab90e803cbc77afd4629cc2bfab,5f32cf8f2d5b0eff25843d45be9ed1d1efc22da7,d2267e91ee3d57e8e6cb595cd0c016f5c5cb3da8,le3,2,1,15
kaazing_k3po__c4c1607928,kaazing/k3po,c4c16079287cb534fb1d86ddead2698bfb232649,dc8a9242db7c03fb2e2d6433415bc10ecdcfa206,32f85988dc88c364bff04dc494fdd45fa049611c,le3,2,1,16
jooq_jooq__df390cf919,jooq/jooq,df390cf9197813feb048902e9dedde61fb01931b,f5004522d6823885103365b39788ccc25c603314,8767b8014d1beaee87f4e90ed5ce3f4ce10c8525,le3,2,1,17
mmastrac_nanojson__73d6edc675,mmastrac/nanojson,73d6edc6752e3fe1296b145b5608b854aa69728b,4349800958493e77baacd9af44be62a898a0af97,3f211d814aa3b3c9339697353c7e171ede6b36a2,le3,2,1,18
threerings_getdown__f087863098,threerings/getdown,f087863098a6bc43551643f94cbe1893348773e6,b57524d0d6eaa00a1cd5737d446fa015c8980849,6af6081648724ebb7bc62448e44f2ef44159d810,le3,3,2,19
rometools_rome__0de36f1a02,rometools/rome,0de36f1a02e1eb86a90adb362239474aa26151ae,e3dc44cf971a74e5fd7e3af7b7ba3835ffbeaa30,20e07a97e16fa762d275ba80db8e7f6dd35ac4ac,le3,2,1,20
projectkorra_projectkorra__bed3c613a9,projectkorra/projectkorra,bed3c613a983ceff447bfc9102c3c5e9a8cdb224,563a7c327a51c2214f854454bd0a082c578fe9b6,99de2576860cc9960834352f7289d03d3b1f67f7,le3,2,1,21
jcabi_jcabi-github__d062ad2e69,jcabi/jcabi-github,d062ad2e69d14f21d327a87c742382af2df7f224,571d073c01ca49712844287ed4eb142f702419b8,af7e544d068da2f394dc040165ca003e663613ff,le3,2,1,22
killbilling_recurly-java-library__08a7a04b55,killbilling/recurly-java-library,08a7a04b55d1f2d92c22a2503c6c2c5de967a5b8,dcfa15ca5d90a20b387ee9b41630b9f71f581a07,56be3597e139bc666ff01f865853fd118fb0dd05,le3,2,1,23
datastax_java-driver__089aacb75c,datastax/java-driver,089aacb75cc86c67b8d2f650ade1fe041e66323d,51d99f49daa0c54d9ec3ef4977e2e14ef9ffaf6c,2d2715d7cb1af85c19d0aef4b0cf1b3b79acf999,le3,2,1,24
jenkinsci_active-directory-plugin__9dc0b0f2e7,jenkinsci/active-directory-plugin,9dc0b0f2e7fdf4801c2fe17dcf13c9166678bf26,7f3e7136eb11ab4a1154f46ed1ca9887693b5002,477586ad556aed714412d8fb403e0ae55f198c58,le3,2,1,25
tgac_miso-lims__fa7593e209,tgac/miso-lims,fa7593e209edb54b5a5c11eeb0b07103c0b02a94,4507173cbdcd0d2389767fe4aeb43936629af24a,0955feeaaab386ffc307e46d7c65bbbaa953ee8d,le3,2,1,26
kongchen_swagger-maven-plugin__a0f0c8d4d9,kongchen/swagger-maven-plugin,a0f0c8d4d9a98c1d7c9e469f47e215328eb7c3e6,54723e39cc744f1c5cc99cfba88e783727f63aa4,0b7e10d19a3e89a35df01117bdac11cb5f901d38,le3,3,2,27
apache_commons-jexl__4ae5496db5,apache/commons-jexl,4ae5496db5a3e4df685f5da35aae052dfdec7e05,43fdeed59b161f9846b6746e63000be0e7b767a3,29422ced61b33022af74359a6f0aec95d30924a3,gt3,14,9,28
killbilling_recurly-java-library__632df268de,killbilling/recurly-java-library,632df268def938afed21e25c7f2474011df5aaf1,b9728ccb66fbf98bab937368b6cda00ba1674dd9,3f1cbf7523f876bb2f27c2010fc05bfcd96be2bd,le3,3,2,29
