arm,merge_id,scenario_id,file_path,merge_outcome,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
ctl,linkedin_camus__fd747243ca,linkedin_camus__fd747243ca__camus-etl-kafka_src_main_java_com_linkedin_camus_etl_kafka_mapred_EtlInputFormat.java,camus-etl-kafka/src/main/java/com/linkedin/camus/etl/kafka/mapred/EtlInputFormat.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,71.368
ctl,mercadopago_sdk-java__540cfa9763,mercadopago_sdk-java__540cfa9763__src_test_java_com_mercadopago_BaseClientIT.java,src/test/java/com/mercadopago/BaseClientIT.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,62.546
ctl,mercadopago_sdk-java__540cfa9763,mercadopago_sdk-java__540cfa9763__src_test_java_com_mercadopago_client_cardtoken_CardTokenClientIT.java,src/test/java/com/mercadopago/client/cardtoken/CardTokenClientIT.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,64.675
ctl,mrcookieslime_slimefun-3.0__6a34470b47,mrcookieslime_slimefun-3.0__6a34470b47__src_main_java_io_github_thebusybiscuit_slimefun4_api_items_SlimefunItem.java,src/main/java/io/github/thebusybiscuit/slimefun4/api/items/SlimefunItem.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,71.316
ctl,named-data_jndn__320742aa20,named-data_jndn__320742aa20__src_net_named_data_jndn_Data.java,src/net/named_data/jndn/Data.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,65.865
ctl,named-data_jndn__320742aa20,named-data_jndn__320742aa20__src_net_named_data_jndn_Node.java,src/net/named_data/jndn/Node.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,74.016
ctl,nysenate_openlegislation__8645aab4d6,nysenate_openlegislation__8645aab4d6__src_main_java_gov_nysenate_openleg_controller_api_bill_BillGetCtrl.java,src/main/java/gov/nysenate/openleg/controller/api/bill/BillGetCtrl.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,67.44
ctl,openhft_chronicle-threads__8b940638d7,openhft_chronicle-threads__8b940638d7__src_main_java_net_openhft_chronicle_threads_MonitorEventLoop.java,src/main/java/net/openhft/chronicle/threads/MonitorEventLoop.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,60.964
ctl,openpnp_openpnp__e8a35b8e6f,openpnp_openpnp__e8a35b8e6f__src_main_java_org_openpnp_gui_importer_EagleBoardImporter.java,src/main/java/org/openpnp/gui/importer/EagleBoardImporter.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,74.909
ctl,pandcorps_pandam__e736609b61,pandcorps_pandam__e736609b61__game-furguardians_src_main_java_org_pandcorps_furguardians_FurGuardiansGame.java,game-furguardians/src/main/java/org/pandcorps/furguardians/FurGuardiansGame.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,97.281
ctl,poetix_protonpack__2ce321af89,poetix_protonpack__2ce321af89__src_main_java_com_codepoetics_protonpack_StreamUtils.java,src/main/java/com/codepoetics/protonpack/StreamUtils.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,63.536
ctl,reckart_shib-http-client__536fe936a3,reckart_shib-http-client__536fe936a3__src_main_java_de_tudarmstadt_ukp_shibhttpclient_ShibHttpClient.java,src/main/java/de/tudarmstadt/ukp/shibhttpclient/ShibHttpClient.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,66.628
ctl,sandergielisse_enderstone__8e17a2983e,sandergielisse_enderstone__8e17a2983e__src_org_enderstone_server_packet_NetworkManager.java,src/org/enderstone/server/packet/NetworkManager.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,65.363
ctl,sd4324530_fastweixin__53b5138ff7,sd4324530_fastweixin__53b5138ff7__src_main_java_com_github_sd4324530_fastweixin_servlet_WeixinSupport.java,src/main/java/com/github/sd4324530/fastweixin/servlet/WeixinSupport.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,74.225
ctl,srt_asterisk-java__99ba7cc5bd,srt_asterisk-java__99ba7cc5bd__src_main_java_org_asteriskjava_live_internal_AsteriskServerImpl.java,src/main/java/org/asteriskjava/live/internal/AsteriskServerImpl.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,74.347
ctl,vojtechhabarta_typescript-generator__05aea6d7c1,vojtechhabarta_typescript-generator__05aea6d7c1__typescript-generator-core_src_main_java_cz_habarta_typescript_generator_ext_BeanPropertyPathExtension.java,typescript-generator-core/src/main/java/cz/habarta/typescript/generator/ext/BeanPropertyPathExtension.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,69.64
