arm,merge_id,scenario_id,outcome,reject_reason,classification,oracle,source
pos,cternes_openkeepass__bb53512ab2,cternes_openkeepass__bb53512ab2__src_main_java_de_slackspace_openkeepass_KeePassDatabase.java,clean,,FP,test-label,driver-git
pos,cternes_openkeepass__bb53512ab2,cternes_openkeepass__bb53512ab2__src_test_java_de_slackspace_openkeepass_reader_KeepassDatabaseReaderTest.java,conflict,textual,TN,dev-match,driver-git
pos,dabsquared_gitlab-plugin__d555b8773d,dabsquared_gitlab-plugin__d555b8773d__src_main_java_com_dabsquared_gitlabjenkins_connection_GitLabConnectionConfig.java,clean,,FP,test-label,driver-mergiraf
pos,datastax_java-driver__0dd96ea21f,datastax_java-driver__0dd96ea21f__driver-core_src_main_java_com_datastax_driver_core_TableMetadata.java,conflict,textual,TN,dev-match,driver-mergiraf
pos,datastax_java-driver__1f25c7e3a0,datastax_java-driver__1f25c7e3a0__driver-core_src_main_java_com_datastax_driver_core_Cluster.java,clean,,FP,test-label,driver-git
pos,datastax_java-driver__1f25c7e3a0,datastax_java-driver__1f25c7e3a0__driver-core_src_main_java_com_datastax_driver_core_TypeCodec.java,conflict,textual,TN,dev-match,driver-mergiraf
pos,datastax_java-driver__3eb34e6785,datastax_java-driver__3eb34e6785__driver-core_src_main_java_com_datastax_driver_core_TableMetadata.java,conflict,textual,TN,dev-match,driver-mergiraf
pos,datastax_java-driver__725b790a79,datastax_java-driver__725b790a79__driver-core_src_main_java_com_datastax_driver_core_Cluster.java,conflict,textual,TN,dev-match,driver-mergiraf
pos,datastax_java-driver__7ff4958746,datastax_java-driver__7ff4958746__driver-core_src_main_java_com_datastax_driver_core_Cluster.java,clean,,FP,test-label,driver-mergiraf
pos,datastax_java-driver__7ff4958746,datastax_java-driver__7ff4958746__driver-core_src_main_java_com_datastax_driver_core_ControlConnection.java,clean,,FP,test-label,driver-mergiraf
pos,datastax_java-driver__e1535e89ad,datastax_java-driver__e1535e89ad__driver-core_src_main_java_com_datastax_driver_core_HostConnectionPool.java,conflict,semantic,TN,dev-match,driver-mergiraf
pos,deemopen_zkui__2843e7c28f,deemopen_zkui__2843e7c28f__src_main_java_com_deem_zkui_controller_Import.java,clean,,FP,test-label,driver-git
pos,deemopen_zkui__2843e7c28f,deemopen_zkui__2843e7c28f__src_main_java_com_deem_zkui_vo_LeafBean.java,conflict,textual,TN,dev-match,driver-git
pos,digidotcom_xbeejavalibrary__6279f85f74,digidotcom_xbeejavalibrary__6279f85f74__src_com_digi_xbee_api_XBeeDevice.java,conflict,textual,TN,dev-match,driver-mergiraf
pos,dius_java-faker__4c61966b1c,dius_java-faker__4c61966b1c__src_main_java_com_github_javafaker_Faker.java,clean,,FP,test-label,driver-git
pos,dtrules_dtrules__505c5cbf82,dtrules_dtrules__505c5cbf82__compilerutil_src_main_java_com_dtrules_trace_Trace.java,clean,,FP,test-label,driver-mergiraf
pos,elisarver_selophane__4ecc600017,elisarver_selophane__4ecc600017__src_test_java_org_selophane_elements_FormTest.java,clean,,FP,test-label,driver-git
pos,elisarver_selophane__4ecc600017,elisarver_selophane__4ecc600017__src_test_java_org_selophane_elements_helpers_FormTestObject.java,clean,,FP,test-label,driver-git
pos,erudika_para__a9e67cc8b3,erudika_para__a9e67cc8b3__para-server_src_main_java_com_erudika_para_aop_IndexAndCacheAspect.java,conflict,semantic,TN,dev-match,driver-mergiraf
pos,fasterxml_jackson-core__2572819ed9,fasterxml_jackson-core__2572819ed9__src_test_java_com_fasterxml_jackson_core_sym_TestSymbolTables.java,clean,,FP,test-label,driver-git
pos,fasterxml_jackson-datatype-joda__4e6c266339,fasterxml_jackson-datatype-joda__4e6c266339__src_test_java_com_fasterxml_jackson_datatype_joda_JodaSerializationTest.java,clean,,FP,test-label,driver-git
pos,feroult_yawp__141f79a8e9,feroult_yawp__141f79a8e9__src_main_java_endpoint_repository_IdRef.java,clean,,FP,test-label,driver-git
pos,feroult_yawp__1723236a65,feroult_yawp__1723236a65__src_main_java_endpoint_actions_RepositoryActions.java,clean,,FP,test-label,driver-mergiraf
pos,frankbille_scoreboard__890ecd0bdb,frankbille_scoreboard__890ecd0bdb__src_main_java_dk_frankbille_scoreboard_domain_Player.java,clean,,FP,test-label,driver-mergiraf
pos,garbagemule_mobarena__b34dc0d5ac,garbagemule_mobarena__b34dc0d5ac__src_main_java_com_garbagemule_MobArena_MASpawnThread.java,clean,,FP,test-label,driver-git
pos,google_compile-testing__608e1cb92a,google_compile-testing__608e1cb92a__src_test_java_com_google_testing_compile_JavaSourcesSubjectFactoryTest.java,conflict,textual,FN,dev-match,driver-git
pos,google_truth__2e4a23bebb,google_truth__2e4a23bebb__core_src_main_java_org_truth0_subjects_StringSubject.java,clean,,FP,test-label,driver-git
pos,google_truth__2e4a23bebb,google_truth__2e4a23bebb__core_src_test_java_org_truth0_subjects_StringTest.java,clean,,FP,test-label,driver-git
pos,google_truth__9289ed34ae,google_truth__9289ed34ae__src_main_java_org_junit_contrib_truth_subjects_IterableSubject.java,conflict,textual,TN,dev-match,driver-git
pos,google_truth__9289ed34ae,google_truth__9289ed34ae__src_test_java_org_junit_contrib_truth_IterableTest.java,clean,,FP,test-label,driver-mergiraf
pos,greese_dasein-cloud-core__6c37152e5f,greese_dasein-cloud-core__6c37152e5f__src_main_java_org_dasein_cloud_network_LoadBalancerHealthCheck.java,conflict,textual,FN,dev-match,driver-git
pos,guhilling_cdi-test__f3f8094c67,guhilling_cdi-test__f3f8094c67__cdi-test-jpa_src_test_java_de_hilling_junit_cdi_jee_EntityManagerLifecycleTest.java,clean,,FP,test-label,driver-mergiraf
pos,gwtbootstrap3_gwtbootstrap3__5c0d1eab79,gwtbootstrap3_gwtbootstrap3__5c0d1eab79__gwtbootstrap3_src_main_java_org_gwtbootstrap3_client_ui_base_form_AbstractForm.java,clean,,FP,test-label,driver-mergiraf
pos,haraldwalker_user-agent-utils__eaaaa1488b,haraldwalker_user-agent-utils__eaaaa1488b__src_main_java_eu_bitwalker_useragentutils_Browser.java,clean,,FP,test-label,driver-git
pos,haraldwalker_user-agent-utils__eaaaa1488b,haraldwalker_user-agent-utils__eaaaa1488b__src_main_java_eu_bitwalker_useragentutils_OperatingSystem.java,clean,,FP,test-label,driver-git
pos,ignorance77_transformiceapi__9a65b8374f,ignorance77_transformiceapi__9a65b8374f__src_main_java_ee_ignorance_transformiceapi_processors_MouseDeathProcessor.java,clean,,FP,test-label,driver-git
pos,imixs_imixs-workflow__23b86de5b4,imixs_imixs-workflow__23b86de5b4__imixs-workflow-index-lucene_src_main_java_org_imixs_workflow_engine_lucene_LuceneIndexService.java,clean,,FP,test-label,driver-mergiraf
pos,imixs_imixs-workflow__23b86de5b4,imixs_imixs-workflow__23b86de5b4__imixs-workflow-index-lucene_src_main_java_org_imixs_workflow_engine_lucene_LuceneUpdateService.java,clean,,FP,test-label,driver-mergiraf
pos,iryndin_jdbf__9853124d73,iryndin_jdbf__9853124d73__src_main_java_net_iryndin_jdbf_util_DbfMetadataUtils.java,clean,,FP,test-label,driver-mergiraf
pos,j256_ormlite-core__2c159335d4,j256_ormlite-core__2c159335d4__src_main_java_com_j256_ormlite_stmt_mapped_MappedCreate.java,clean,,FP,test-label,driver-mergiraf
pos,j256_ormlite-core__606986f118,j256_ormlite-core__606986f118__src_main_java_com_j256_ormlite_field_FieldType.java,clean,,FP,test-label,driver-mergiraf
pos,jacquesberger_jsonparsingexample__ac521954c2,jacquesberger_jsonparsingexample__ac521954c2__src_main_java_org_jberger_jsonparsingexample_json_JSON.java,conflict,semantic,TN,dev-match,driver-mergiraf
pos,jadler-mocking_jadler__294a06c3fc,jadler-mocking_jadler__294a06c3fc__jadler-core_src_main_java_net_jadler_JadlerMocker.java,clean,,FP,test-label,driver-mergiraf
pos,javamoney_jsr354-api__6d2356a153,javamoney_jsr354-api__6d2356a153__money-api_provider_src_test_java_javax_money_provider_MonetaryTest.java,clean,,FP,test-label,driver-mergiraf
pos,javaparser_javaparser__41a398414f,javaparser_javaparser__41a398414f__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javaparsermodel_JavaParserFacade.java,clean,,FP,test-label,driver-mergiraf
pos,javaparser_javaparser__41a398414f,javaparser_javaparser__41a398414f__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javaparsermodel_TypeExtractor.java,clean,,FP,test-label,driver-git
pos,javaparser_javaparser__91ebf36c06,javaparser_javaparser__91ebf36c06__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javassistmodel_JavassistClassDeclaration.java,clean,,FP,test-label,driver-mergiraf
pos,javaparser_javaparser__91ebf36c06,javaparser_javaparser__91ebf36c06__javaparser-symbol-solver-testing_src_test_java_com_github_javaparser_symbolsolver_resolution_AnalyseJavaSymbolSolver060Test.java,clean,,FP,test-label,driver-mergiraf
pos,javaparser_javaparser__a23c6aa3b8,javaparser_javaparser__a23c6aa3b8__javaparser-testing_src_test_java_com_github_javaparser_bdd_steps_DumpingSteps.java,clean,,FP,test-label,driver-mergiraf
pos,javaparser_javaparser__dc6254f1bf,javaparser_javaparser__dc6254f1bf__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javaparsermodel_declarations_JavaParserSymbolDeclaration.java,clean,,FP,test-label,driver-mergiraf
pos,javaparser_javaparser__ff91564b7f,javaparser_javaparser__ff91564b7f__javaparser-core-testing_src_test_java_com_github_javaparser_modules_ModuleDeclarationTest.java,clean,,FP,test-label,driver-mergiraf
pos,jboss-msc_jboss-msc__1d9b8d45ff,jboss-msc_jboss-msc__1d9b8d45ff__src_main_java_org_jboss_msc_service_BatchInjectionBuilderImpl.java,conflict,textual,FN,dev-match,driver-git
pos,jboss-msc_jboss-msc__a4e21a3b10,jboss-msc_jboss-msc__a4e21a3b10__src_main_java_org_jboss_msc_service_ServiceContainerImpl.java,clean,,FP,test-label,driver-git
pos,jboss-remoting_jboss-remoting__66a0631d13,jboss-remoting_jboss-remoting__66a0631d13__src_main_java_org_jboss_remoting3_RemotingXmlParser.java,clean,,FP,test-label,driver-git
pos,jcabi_jcabi-github__27cc460e3c,jcabi_jcabi-github__27cc460e3c__src_main_java_com_jcabi_github_Gist.java,clean,,FP,test-label,driver-mergiraf
pos,jcabi_jcabi-github__27cc460e3c,jcabi_jcabi-github__27cc460e3c__src_test_java_com_jcabi_github_RtGistITCase.java,conflict,semantic,TN,dev-match,driver-mergiraf
pos,jcabi_jcabi-github__b13d2596ba,jcabi_jcabi-github__b13d2596ba__src_test_java_com_jcabi_github_RtIssueITCase.java,conflict,textual,TN,dev-match,driver-git
