config,arm,merge_id,scenario_id,outcome,reject_reason,classification,oracle,rt,route_effective,lanes,flags
driver-auto-off,pos,cloudfoundry_cf-java-client__be097d5860,cloudfoundry_cf-java-client__be097d5860__cloudfoundry-client-reactor_src_main_java_org_cloudfoundry_reactor_util_DefaultSslCertificateTruster.java,clean,,FP,test-label,75.896,mergiraf,,
driver-auto-off,pos,cloudfoundry_cf-java-client__eb3b2f5beb,cloudfoundry_cf-java-client__eb3b2f5beb__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations__DefaultCloudFoundryOperations.java,clean,,FP,test-label,76.482,git,,
driver-auto-off,pos,cloudslang_score__66ba4f51e3,cloudslang_score__66ba4f51e3__score-api_src_main_java_io_cloudslang_score_lang_ExecutionRuntimeServices.java,conflict,textual,TN,dev-match,73.952,mergiraf,,
driver-auto-off,pos,comatoes_ftl-profile-editor__e87fe65818,comatoes_ftl-profile-editor__e87fe65818__src_main_java_net_blerf_ftl_parser_SavedGameParser.java,conflict,semantic,TN,dev-match,90.997,mergiraf,JoernUnresolvedReference;RM2RenameConflict,JoernUnresolvedReference L147: Unresolved identifier 'gameState' in method 'readShip': referenced in the merged file but resolvable | RM2RenameConflict L105: Stale caller of renamed identifier: 'setReservePowerCapacity' (renamed to 'setSectorNumber') still r | RM2RenameConflict L468: Stale caller of renamed identifier: 'setReservePowerCapacity' (renamed to 'setSectorNumber') still r
driver-auto-off,pos,cribbstechnologies_java-mandrill-wrapper__0cf79745f1,cribbstechnologies_java-mandrill-wrapper__0cf79745f1__src_main_java_com_cribbstechnologies_clients_mandrill_model_MandrillMessage.java,conflict,textual,TN,dev-match,69.837,git,,
driver-auto-off,pos,cribbstechnologies_java-mandrill-wrapper__0cf79745f1,cribbstechnologies_java-mandrill-wrapper__0cf79745f1__src_test_java_com_cribbstechnologies_clients_mandrill_request_MandrillRESTRequestTest.java,conflict,textual,TN,dev-match,77.576,git,,
driver-auto-off,pos,cternes_openkeepass__bb53512ab2,cternes_openkeepass__bb53512ab2__src_main_java_de_slackspace_openkeepass_KeePassDatabase.java,clean,,FP,test-label,75.669,git,,
driver-auto-off,pos,cternes_openkeepass__bb53512ab2,cternes_openkeepass__bb53512ab2__src_test_java_de_slackspace_openkeepass_reader_KeepassDatabaseReaderTest.java,conflict,textual,TN,dev-match,72.018,git,,
driver-auto-off,pos,dabsquared_gitlab-plugin__d555b8773d,dabsquared_gitlab-plugin__d555b8773d__src_main_java_com_dabsquared_gitlabjenkins_connection_GitLabConnectionConfig.java,clean,,FP,test-label,75.518,mergiraf,,
driver-auto-off,pos,datastax_java-driver__0dd96ea21f,datastax_java-driver__0dd96ea21f__driver-core_src_main_java_com_datastax_driver_core_TableMetadata.java,conflict,textual,TN,dev-match,78.595,mergiraf,,
driver-auto-off,pos,datastax_java-driver__1f25c7e3a0,datastax_java-driver__1f25c7e3a0__driver-core_src_main_java_com_datastax_driver_core_Cluster.java,clean,,FP,test-label,88.833,git,,
driver-auto-off,pos,datastax_java-driver__1f25c7e3a0,datastax_java-driver__1f25c7e3a0__driver-core_src_main_java_com_datastax_driver_core_TypeCodec.java,conflict,textual,TN,dev-match,82.355,mergiraf,,
driver-auto-off,pos,datastax_java-driver__3eb34e6785,datastax_java-driver__3eb34e6785__driver-core_src_main_java_com_datastax_driver_core_TableMetadata.java,conflict,textual,TN,dev-match,76.676,mergiraf,,
driver-auto-off,pos,datastax_java-driver__725b790a79,datastax_java-driver__725b790a79__driver-core_src_main_java_com_datastax_driver_core_Cluster.java,conflict,semantic,TN,dev-match,81.036,mergiraf,RM2RenameConflict,RM2RenameConflict L1055: Stale caller of renamed identifier: 'shutdown' (renamed to 'close') still referenced at this line. | RM2RenameConflict L1059: Stale caller of renamed identifier: 'shutdown' (renamed to 'close') still referenced at this line. | RM2RenameConflict L1594: Stale caller of renamed identifier: 'shutdown' (renamed to 'close') still referenced at this line.
driver-auto-off,pos,datastax_java-driver__7ff4958746,datastax_java-driver__7ff4958746__driver-core_src_main_java_com_datastax_driver_core_Cluster.java,clean,,FP,test-label,90.636,mergiraf,,
driver-auto-off,pos,datastax_java-driver__7ff4958746,datastax_java-driver__7ff4958746__driver-core_src_main_java_com_datastax_driver_core_ControlConnection.java,clean,,FP,test-label,84.64,mergiraf,,
driver-auto-off,pos,datastax_java-driver__e1535e89ad,datastax_java-driver__e1535e89ad__driver-core_src_main_java_com_datastax_driver_core_HostConnectionPool.java,conflict,semantic,TN,dev-match,79.091,mergiraf,JoernUnresolvedReference,JoernUnresolvedReference L134: Unresolved identifier 'isShutdown' in method 'borrowConnection': referenced in the merged file but r
driver-auto-off,pos,deemopen_zkui__2843e7c28f,deemopen_zkui__2843e7c28f__src_main_java_com_deem_zkui_controller_Import.java,clean,,FP,test-label,75.561,git,,
driver-auto-off,pos,deemopen_zkui__2843e7c28f,deemopen_zkui__2843e7c28f__src_main_java_com_deem_zkui_vo_LeafBean.java,conflict,textual,TN,dev-match,70.375,git,,
driver-auto-off,pos,digidotcom_xbeejavalibrary__6279f85f74,digidotcom_xbeejavalibrary__6279f85f74__src_com_digi_xbee_api_XBeeDevice.java,conflict,textual,TN,dev-match,78.55,mergiraf,,
driver-auto-off,pos,dius_java-faker__4c61966b1c,dius_java-faker__4c61966b1c__src_main_java_com_github_javafaker_Faker.java,clean,,FP,test-label,78.106,git,,
driver-auto-off,pos,dtrules_dtrules__505c5cbf82,dtrules_dtrules__505c5cbf82__compilerutil_src_main_java_com_dtrules_trace_Trace.java,clean,,FP,test-label,72.743,mergiraf,,
driver-auto-off,pos,elisarver_selophane__4ecc600017,elisarver_selophane__4ecc600017__src_test_java_org_selophane_elements_FormTest.java,clean,,FP,test-label,73.434,git,,
driver-auto-off,pos,elisarver_selophane__4ecc600017,elisarver_selophane__4ecc600017__src_test_java_org_selophane_elements_helpers_FormTestObject.java,clean,,FP,test-label,71.33,git,,
driver-auto-off,pos,erudika_para__a9e67cc8b3,erudika_para__a9e67cc8b3__para-server_src_main_java_com_erudika_para_aop_IndexAndCacheAspect.java,conflict,semantic,TN,dev-match,81.144,mergiraf,JoernUnresolvedReference;RM2RenameConflict,JoernUnresolvedReference L109: Unresolved identifier 'm' in method 'invoke': referenced in the merged file but resolvable in neithe | RM2RenameConflict L109: Stale reference to renamed variable/field: 'm' (renamed to 'method') still referenced at this line b
driver-auto-off,pos,fasterxml_jackson-core__2572819ed9,fasterxml_jackson-core__2572819ed9__src_test_java_com_fasterxml_jackson_core_sym_TestSymbolTables.java,clean,,FP,test-label,73.511,git,,
driver-auto-off,pos,fasterxml_jackson-datatype-joda__4e6c266339,fasterxml_jackson-datatype-joda__4e6c266339__src_test_java_com_fasterxml_jackson_datatype_joda_JodaSerializationTest.java,clean,,FP,test-label,75.03,git,,
