merge_id,stratum,split
ardesco_selenium-standalone-server-plugin__957d978135,B,derivation
awslabs_amazon-kinesis-client__a207c3760c,B,derivation
azuread_azure-activedirectory-library-for-java__c2385c17f0,B,derivation
cloudslang_score__657635dc0a,B,derivation
cloudslang_score__8c78da61cf,B,heldout
cloudslang_score__ace2958fc1,B,derivation
cloudslang_score__ded24a7b98,B,derivation
danielnorberg_auto-matter__3d46ebaf5a,B,derivation
dius_java-faker__9f0019116a,B,derivation
driesschulten_dozer-model__c7260c73f5,B,heldout
ebay_xcelite__463d8a2f0d,B,heldout
edwardcapriolo_nibiru__bb6150cffd,B,derivation
eirslett_frontend-maven-plugin__d543d86d84,B,heldout
fasterxml_jackson-core__cd12b954a6,B,heldout
flaxsearch_luwak__666bdd192e,B,heldout
flaxsearch_luwak__7956093330,B,heldout
flaxsearch_luwak__9f54b4463e,B,derivation
fluentlenium_fluentlenium__6be832b8bb,B,heldout
fluentlenium_fluentlenium__adba3e9556,B,heldout
gitools_gitools__02221bf3d8,B,derivation
glowroot_glowroot__5edc6961f8,B,derivation
guhilling_cdi-test__04817bb259,B,heldout
imixs_imixs-workflow__d370e1aa34,B,derivation
irstv_cts__99e5d7dd43,B,heldout
jakewharton_disklrucache__7f28919d2a,B,derivation
javaparser_javaparser__6a08db8f51,B,derivation
javaparser_javaparser__e6063bb10d,B,heldout
jcabi_jcabi-github__fccaac2ed7,B,heldout
jdeparser_jdeparser2__868afefbb4,B,derivation
jenkinsci_build-timeout-plugin__daeab4a1ee,B,derivation
jenkinsci_coverity-plugin__5846a9f06a,B,heldout
jenkinsci_credentials-plugin__e9cf377a17,B,derivation
jenkinsci_email-ext-plugin__bbf162f5d5,B,heldout
jenkinsci_junit-plugin__cfcac8f0c9,B,heldout
jiaqi_jmxterm__c6a0ae5c6c,B,derivation
jline_jline2__5acfe59453,B,derivation
jmetal_jmetal__3724e879b8,B,heldout
jmrozanec_cron-utils__a77c0476c3,B,derivation
joel-costigliola_assertj-core__a3011e7f9e,B,derivation
joel-costigliola_assertj-core__d04568906e,B,heldout
joel-costigliola_assertj-core__d3dab0d22c,B,heldout
joel-costigliola_assertj-core__df351133a9,B,derivation
jsamoocha_linksalienceclassification__7aff5753c7,B,derivation
jsprit_jsprit__193d4ec85c,B,derivation
jsprit_jsprit__c60ab8afd0,B,heldout
jsprit_jsprit__df2e3e4b7e,B,derivation
jwtk_jjwt__fd52e0ffc2,B,heldout
kongchen_swagger-maven-plugin__10c79c6df1,B,derivation
logstash_log4j-jsonevent-layout__ee90110799,B,derivation
lukas-krecan_jsonunit__3cb3260c4b,B,derivation
masterthought_cucumber-reporting__d1ecdc4a98,B,derivation
mbosecke_pebble__4466be45d7,B,heldout
mbosecke_pebble__bb807558a3,B,heldout
mbosecke_pebble__e1d07bf277,B,derivation
mercadopago_sdk-java__9dfc950fd2,B,derivation
monitorjbl_excel-streaming-reader__5c0538482f,B,derivation
msopentech_azure-activedirectory-library-for-java__c2385c17f0,B,derivation
mtedone_podam__8d5f7e40f6,B,derivation
nhl_link-etl__5809ccc762,B,derivation
nysenate_openlegislation__b8da5f2051,B,heldout
omnifaces_omnifaces__9fed2fb24d,B,heldout
openhft_chronicle-bytes__0fb20d3a47,B,derivation
openpnp_openpnp__a43f3e919e,B,derivation
openpnp_openpnp__b62c0ce826,B,derivation
oxo42_stateless4j__4c7880ec0e,B,derivation
premium-minds_billy__bc9db33323,B,derivation
prism_prism-bukkit__395b9a57a5,B,heldout
prism_prism-bukkit__c9fd69aac9,B,derivation
projectkorra_projectkorra__f76c2ce874,B,derivation
qcadoo_mes__c6cb8180e5,B,derivation
relayrides_pushy__21150905f2,B,heldout
sander2798_enderstone__9d0d7b7ba8,B,derivation
sander2798_enderstone__df0826f63b,B,heldout
sander2798_enderstone__febdb02eb3,B,heldout
sandergielisse_enderstone__9d0d7b7ba8,B,heldout
sandergielisse_enderstone__df0826f63b,B,derivation
sandergielisse_enderstone__febdb02eb3,B,derivation
sbtourist_journal.io__f13d15914f,B,heldout
scribble_scribble-java__e72f7c9c06,B,heldout
softinstigate_restheart__dc14776b02,B,derivation
sonarcommunity_sonar-php__b155c33852,B,heldout
sonarcommunity_sonar-scm-activity__e078d44db1,B,derivation
sonarsource_sonar-findbugs__b2fd863305,B,derivation
spigotmc_bungeecord__760d3618d3,B,derivation
spigotmc_bungeecord__78083158f5,B,derivation
spigotmc_bungeecord__7b3dcf9d69,B,heldout
spigotmc_bungeecord__84babbd5fe,B,derivation
spigotmc_bungeecord__8943fe2bd2,B,derivation
spigotmc_bungeecord__96db0c71b8,B,heldout
spigotmc_bungeecord__9fa5e74c10,B,heldout
spigotmc_bungeecord__b71e3b33f3,B,derivation
steveice10_mcprotocollib__8a7d7b196b,B,heldout
steveice10_mcprotocollib__b767a94417,B,heldout
stevespringett_dependency-check-sonar-plugin__03377193d3,B,derivation
stratehm_stratum-proxy__45364d27bd,B,derivation
structr_structr__6738b144bb,B,derivation
sviperll_static-mustache__271693c779,B,derivation
urbanairship_datacube__641b92c0fc,B,heldout
vijay2win_flume-cassandra-sink__38cdbeced7,B,derivation
vkostyukov_la4j__843d8ff9de,B,derivation
wordnik_swagger-codegen__dbadd9a831,B,heldout
yandex-qatools_postgresql-embedded__6e15a53c7e,B,derivation
zxing_zxing__26d5d13836,B,heldout
