merge_id,stratum,num_intersecting_csv,status,split,files_materialized,files_scored,files_dropped,dropped_reasons,truncation_level,unit_tokens,over_30k
guhilling_cdi-test__04817bb259,B,4,scored,heldout,3,3,0,,T0,8167,0
guhilling_cdi-test__f3f8094c67,A,2,scored,heldout,1,1,0,,T0,3766,0
msopentech_azure-activedirectory-library-for-java__d3f143872b,A,2,scored,derivation,1,1,0,,T0,23061,0
msopentech_azure-activedirectory-library-for-java__c2385c17f0,B,6,scored,derivation,4,3,1,conflict,T2,29870,0
recruit-tech_redpen__58d3096f6c,A,2,scored,heldout,1,1,0,,T0,13246,0
buschmais_extended-objects__46ec306cf6,A,2,scored,heldout,1,1,0,,T0,9856,0
oxo42_stateless4j__4c7880ec0e,B,10,scored,derivation,8,8,0,,T2,17424,0
omnifaces_omnifaces__9fed2fb24d,B,9,scored,heldout,7,6,1,conflict,T3/cap1,21716,0
warmuuh_libsass-maven-plugin__5ca7b3f086,A,2,dropped_divergence,,1,0,1,conflict,,,
jenkinsci_docker-build-publish-plugin__59faa9673c,A,3,scored,derivation,1,1,0,,T0,12995,0
learning-layers_socialsemanticserver__4ada3cddc3,A,3,scored,heldout,2,1,1,conflict,T0,5514,0
erudika_para__a9e67cc8b3,A,2,scored,heldout,1,1,0,,T0,15959,0
northlander_a__c3f2865b88,A,2,scored,derivation,1,1,0,,T0,12869,0
jcabi_jcabi-http__0c63dd0c75,A,2,dropped_divergence,,1,0,1,conflict,,,
imixs_imixs-workflow__23b86de5b4,A,3,scored,derivation,2,2,0,,T0,10778,0
imixs_imixs-workflow__d370e1aa34,B,4,scored,derivation,2,2,0,,T0,24605,0
glowroot_glowroot__5edc6961f8,B,4,scored,derivation,3,3,0,,T2,13563,0
awslabs_amazon-kinesis-client__a207c3760c,B,5,scored,derivation,2,2,0,,T0,8710,0
awslabs_amazon-kinesis-client__ed1f9d4dca,A,3,materialization_loss,,,,,,,,
awslabs_amazon-kinesis-client__74aa7a5986,A,3,materialization_loss,,,,,,,,
gwtbootstrap3_gwtbootstrap3__5c0d1eab79,A,2,scored,derivation,1,1,0,,T0,7624,0
steveice10_packetlib__295cf3e47a,A,2,dropped_divergence,,1,0,1,conflict,,,
steveice10_mcprotocollib__b767a94417,B,7,scored,heldout,5,5,0,,T0,29192,0
steveice10_mcprotocollib__8a7d7b196b,B,8,scored,heldout,6,5,1,conflict,T2,15026,0
steveice10_mcprotocollib__5c8a435832,A,3,scored,derivation,1,1,0,,T0,2633,0
flaxsearch_luwak__666bdd192e,B,4,scored,heldout,3,3,0,,T0,25581,0
flaxsearch_luwak__7956093330,B,7,scored,heldout,2,2,0,,T0,12638,0
flaxsearch_luwak__9f54b4463e,B,4,scored,derivation,3,3,0,,T0,20038,0
theholywaffle_teamspeak-3-java-api__d41446711b,B,193,materialization_loss,,,,,,,,
mitre_http-proxy-servlet__b7a68118f2,A,2,scored,derivation,1,1,0,,T0,15763,0
jcabi_jcabi-github__b13d2596ba,A,3,scored,derivation,2,2,0,,T0,12658,0
jcabi_jcabi-github__fccaac2ed7,B,4,scored,heldout,3,3,0,,T0,15995,0
jcabi_jcabi-github__e18a8ffd16,A,2,scored,derivation,1,1,0,,T0,5841,0
jcabi_jcabi-github__27cc460e3c,A,3,scored,heldout,2,2,0,,T0,10192,0
jcabi_jcabi-github__38e175516a,A,2,materialization_loss,,,,,,,,
jcabi_jcabi-github__a3d360f703,A,2,materialization_loss,,,,,,,,
