arm,merge_id,scenario_id,file_path,merge_outcome,category,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
ctl,jOOQ__d96120f327__org.jooq.impl.DSL,jOOQ__d96120f327__org.jooq.impl.DSL,org/jooq/impl/DSL.java,conflict,none,,,,,,DIVERGED,1.496
ctl,java-faker__ca42fcfaf4__com.github.javafaker.Faker,java-faker__ca42fcfaf4__com.github.javafaker.Faker,com/github/javafaker/Faker.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,82.561
ctl,jenkins__48b2b951df__jenkins.slaves.DefaultJnlpSlaveReceiver,jenkins__48b2b951df__jenkins.slaves.DefaultJnlpSlaveReceiver,jenkins/slaves/DefaultJnlpSlaveReceiver.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.735
ctl,jsoup__fee4762322__org.jsoup.helper.HttpConnection,jsoup__fee4762322__org.jsoup.helper.HttpConnection,org/jsoup/helper/HttpConnection.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,93.785
ctl,libgdx__da27e2dae5__com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application,libgdx__da27e2dae5__com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application,com/badlogic/gdx/backends/lwjgl3/Lwjgl3Application.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,87.889
ctl,libgdx__da27e2dae5__com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration,libgdx__da27e2dae5__com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration,com/badlogic/gdx/backends/lwjgl3/Lwjgl3ApplicationConfiguration.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,84.031
ctl,logback__542843fd04__ch.qos.logback.core.rolling.TimeBasedFileNamingAndTriggeringPolicyBase,logback__542843fd04__ch.qos.logback.core.rolling.TimeBasedFileNamingAndTriggeringPolicyBase,ch/qos/logback/core/rolling/TimeBasedFileNamingAndTriggeringPolicyBase.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.601
ctl,okhttp__1151c9853c__com.squareup.okhttp.internal.bytes.GzipSource,okhttp__1151c9853c__com.squareup.okhttp.internal.bytes.GzipSource,com/squareup/okhttp/internal/bytes/GzipSource.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,83.265
ctl,okhttp__3516616852__com.squareup.okhttp.OkHttpClient,okhttp__3516616852__com.squareup.okhttp.OkHttpClient,com/squareup/okhttp/OkHttpClient.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.387
ctl,orientdb__a5ce3bcc0a__com.orientechnologies.orient.core.Orient,orientdb__a5ce3bcc0a__com.orientechnologies.orient.core.Orient,com/orientechnologies/orient/core/Orient.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,90.426
